proof_csv_file,row_number,normalized_class,blocker_fingerprint
docs/reverse/generated/re061-module-game-proof-first-audit.csv,2,symbolic-equivalence-proof-missing,489fbdcd8527d425
docs/reverse/generated/re061-module-game-proof-first-audit.csv,3,marker-behavior-proof-needed,dd62369e5ade5b14
docs/reverse/generated/re061-module-game-proof-first-audit.csv,4,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,5,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,6,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,7,marker-behavior-proof-needed,dd62369e5ade5b14
docs/reverse/generated/re061-module-game-proof-first-audit.csv,8,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,9,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,10,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,11,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,12,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,13,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,14,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,15,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,16,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,17,marker-behavior-proof-needed,dd62369e5ade5b14
docs/reverse/generated/re061-module-game-proof-first-audit.csv,18,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,19,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,20,backlog-context-not-selected,dbb3683201829362
docs/reverse/generated/re061-module-game-proof-first-audit.csv,21,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,22,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,23,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,24,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,25,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,26,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,27,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,28,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,29,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,30,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,31,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,32,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,33,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,34,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,35,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,36,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,37,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,38,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,39,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,40,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,41,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,42,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,43,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,44,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,45,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,46,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,47,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,48,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,49,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,50,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,51,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,52,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re061-module-game-proof-first-audit.csv,53,backlog-context-not-selected,48ce922c42d2974b
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,2,generic-proof-audit-blocker,8a485cce8d80688f
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,3,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,4,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,5,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,6,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,7,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,8,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,9,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,10,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,11,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,12,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,13,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,14,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,15,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,16,proof-evidence-missing,dcec6b9921840748
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,17,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,18,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re069-lara-movement-proof-first-audit.csv,19,backlog-context-not-selected,6287cae3a4ce217c
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,2,marker-behavior-proof-needed,f49a08e9e7307c33
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,3,backlog-context-not-selected,22637bcab48097dd
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,4,marker-behavior-proof-needed,944f0bdcf2c75f4b
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,5,proof-evidence-missing,cf0079b9b662f342
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,6,backlog-context-not-selected,22637bcab48097dd
docs/reverse/generated/re077-gameflow-runtime-proof-first-audit.csv,7,backlog-context-not-selected,22637bcab48097dd
