handoff_file,row_number,source_field,normalized_class,stop_condition_fingerprint
docs/reverse/generated/re068-module-game-handoff.csv,2,reason,generic-handoff-stop-condition,5c092c3b16f132cb
docs/reverse/generated/re076-lara-movement-handoff.csv,2,reason,generic-handoff-stop-condition,04e51cd27644c651
docs/reverse/generated/re084-gameflow-runtime-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,9529fa753e93439d
docs/reverse/generated/re092-object-runtime-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,3d26dd204ff0bdf0
docs/reverse/generated/re100-dynamic-light-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,9bb1ecf8fb1e54e3
docs/reverse/generated/re108-pickup-search-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,be532dddce292e8c
docs/reverse/generated/re116-scripted-runtime-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,5e5f1971f142a032
docs/reverse/generated/re124-lara-runtime-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,adaba1119c303e3d
docs/reverse/generated/re132-runtime-support-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,36fd96703e72c931
docs/reverse/generated/re140-gameplay-mixed-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,ab1327072fa7e69e
docs/reverse/generated/re148-object-interaction-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,501f5629fdd7fa6d
docs/reverse/generated/re156-item-lighting-interaction-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,0bc1a5ab24adc621
docs/reverse/generated/re161-ui-text-support-handoff.csv,2,reason,proof-blocked-or-no-marker-patch,0908b0a54c199638
docs/reverse/generated/re168-ui-text-rendering-source-patch-handoff.csv,2,stop_condition,generic-handoff-stop-condition,5be3578b3d6219f4
docs/reverse/generated/re169-module-spec-psxpc-n-next-cluster-handoff.csv,2,stop_condition,generic-handoff-stop-condition,5f6229985bd72457
docs/reverse/generated/re170-geometry-support-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,5163e288b814d381
docs/reverse/generated/re170-module-spec-psxpc-n-closure-or-handoff.csv,2,blocker,proof-blocked-or-no-marker-patch,ccecb3a3e9312479
docs/reverse/generated/re177-module-spec-psxpc-n-post-geometry-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,5db500d33e9c0f64
docs/reverse/generated/re184-module-spec-psxpc-n-post-frontend-sequence-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,87c6370da04b362c
docs/reverse/generated/re191-module-spec-psxpc-n-post-frontend-loadsave-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,138808bad514c546
docs/reverse/generated/re198-module-spec-psxpc-n-post-platform-gpu-display-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,150af21a98ddd3b7
docs/reverse/generated/re205-module-spec-psxpc-n-post-platform-memory-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,8f0e26b8ddb98cb0
docs/reverse/generated/re212-module-spec-psxpc-n-platform-main-lifecycle-exhaustion-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,4fb2f9ac5738ff8e
docs/reverse/generated/re213-post-module-spec-psxpc-n-domain-selection-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,62bbcc6036527c26
