caller,callee,caller_file,callee_file,line,source_line_text,relationship,state_surface,proof_status,patch_ready,blocker
ObjectOnLOS2,GetBoundsAccurate,SPEC_PSXPC_N/GETSTUFF.C,SPEC_PSXPC_N/CALCLARA.C,1034,source-line-contains-callee-call,source-backed-callsite,interpolated-bounds-buffer;frame-pair;animation-frame-number,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DrawRooms,CalcClipWindow_ONGTE,SPEC_PSXPC_N/DRAWPHAS.C,SPEC_PSXPC_N/BUBBLES.C,314,source-line-contains-callee-call,source-backed-callsite,clip-window-edges;gte-projected-extents,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1593,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1605,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1653,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1669,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1686,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1690,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1694,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1712,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
DEL_CalcLaraMatrices_Interpolated_ASM,InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,SPEC_PSXPC_N/CALCLARA.C,1787,source-line-contains-callee-call,source-backed-callsite,gte-matrix-registers;interpolated-matrix-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
